,Theta,Phi,Accuracy
0,0.0,0.0,77.875
1,0.0,0.025,77.6175
2,0.0,0.05,76.9275
3,0.0,0.07500000000000001,75.91
4,0.0,0.1,74.455
5,0.0,0.125,71.82
6,0.0,0.15000000000000002,69.61
7,0.0,0.17500000000000002,67.39
8,0.0,0.2,62.9825
9,0.0,0.225,59.9425
10,0.0,0.25,55.195
11,0.0,0.275,54.205
12,0.0,0.30000000000000004,50.04
13,0.0,0.325,45.45
14,0.0,0.35000000000000003,42.7325
15,0.0,0.375,38.4175
16,0.0,0.4,36.3525
17,0.0,0.42500000000000004,32.305
18,0.0,0.45,29.42
19,0.0,0.47500000000000003,27.345
20,0.0,0.5,25.3125
21,0.0,0.525,22.8025
22,0.0,0.55,21.1525
23,0.0,0.5750000000000001,18.62
24,0.0,0.6000000000000001,17.925
25,0.0,0.625,17.2675
26,0.0,0.65,15.7425
27,0.0,0.675,14.7425
28,0.0,0.7000000000000001,16.16
29,0.0,0.7250000000000001,14.5375
30,0.0,0.75,13.8225
31,0.0,0.775,12.185
32,0.0,0.8,12.8625
33,0.0,0.8250000000000001,11.915
34,0.0,0.8500000000000001,11.29
35,0.0,0.875,11.8
36,0.0,0.9,10.66
37,0.0,0.925,10.425
38,0.0,0.9500000000000001,10.4675
39,0.0,0.9750000000000001,11.2425
40,0.0,1.0,10.9975
41,0.025,0.0,77.7075
42,0.025,0.025,77.3875
43,0.025,0.05,76.6675
44,0.025,0.07500000000000001,75.555
45,0.025,0.1,73.6625
46,0.025,0.125,71.6525
47,0.025,0.15000000000000002,69.62
48,0.025,0.17500000000000002,67.1025
49,0.025,0.2,63.475
50,0.025,0.225,59.8
51,0.025,0.25,55.31
52,0.025,0.275,51.39
53,0.025,0.30000000000000004,48.86
54,0.025,0.325,44.86
55,0.025,0.35000000000000003,41.395
56,0.025,0.375,38.31
57,0.025,0.4,34.9225
58,0.025,0.42500000000000004,32.42
59,0.025,0.45,30.2075
60,0.025,0.47500000000000003,28.0875
61,0.025,0.5,25.12
62,0.025,0.525,23.1225
63,0.025,0.55,21.2075
64,0.025,0.5750000000000001,19.945
65,0.025,0.6000000000000001,18.6525
66,0.025,0.625,18.4
67,0.025,0.65,16.3025
68,0.025,0.675,14.1575
69,0.025,0.7000000000000001,15.7775
70,0.025,0.7250000000000001,12.9975
71,0.025,0.75,12.895
72,0.025,0.775,11.5725
73,0.025,0.8,13.7825
74,0.025,0.8250000000000001,11.575
75,0.025,0.8500000000000001,11.245
76,0.025,0.875,10.83
77,0.025,0.9,12.4225
78,0.025,0.925,11.7225
79,0.025,0.9500000000000001,12.1025
80,0.025,0.9750000000000001,11.0325
81,0.025,1.0,11.5125
82,0.05,0.0,77.1075
83,0.05,0.025,76.7575
84,0.05,0.05,76.555
85,0.05,0.07500000000000001,75.0975
86,0.05,0.1,72.885
87,0.05,0.125,70.7275
88,0.05,0.15000000000000002,68.6525
89,0.05,0.17500000000000002,65.8825
90,0.05,0.2,63.2625
91,0.05,0.225,58.5525
92,0.05,0.25,55.76
93,0.05,0.275,52.4875
94,0.05,0.30000000000000004,48.5175
95,0.05,0.325,44.79
96,0.05,0.35000000000000003,42.9
97,0.05,0.375,38.1125
98,0.05,0.4,34.655
99,0.05,0.42500000000000004,31.94
100,0.05,0.45,29.415
101,0.05,0.47500000000000003,26.7025
102,0.05,0.5,24.875
103,0.05,0.525,24.96
104,0.05,0.55,20.175
105,0.05,0.5750000000000001,19.385
106,0.05,0.6000000000000001,18.6
107,0.05,0.625,18.2025
108,0.05,0.65,17.3175
109,0.05,0.675,16.595
110,0.05,0.7000000000000001,14.8225
111,0.05,0.7250000000000001,13.8025
112,0.05,0.75,12.64
113,0.05,0.775,11.38
114,0.05,0.8,11.93
115,0.05,0.8250000000000001,11.3425
116,0.05,0.8500000000000001,11.65
117,0.05,0.875,10.59
118,0.05,0.9,11.355
119,0.05,0.925,11.0975
120,0.05,0.9500000000000001,12.395
121,0.05,0.9750000000000001,11.3775
122,0.05,1.0,11.03
123,0.07500000000000001,0.0,76.2875
124,0.07500000000000001,0.025,76.005
125,0.07500000000000001,0.05,75.3975
126,0.07500000000000001,0.07500000000000001,74.1075
127,0.07500000000000001,0.1,73.0425
128,0.07500000000000001,0.125,69.8675
129,0.07500000000000001,0.15000000000000002,67.7325
130,0.07500000000000001,0.17500000000000002,65.2725
131,0.07500000000000001,0.2,61.1625
132,0.07500000000000001,0.225,60.035
133,0.07500000000000001,0.25,54.385
134,0.07500000000000001,0.275,51.255
135,0.07500000000000001,0.30000000000000004,48.5275
136,0.07500000000000001,0.325,45.845
137,0.07500000000000001,0.35000000000000003,42.105
138,0.07500000000000001,0.375,37.9225
139,0.07500000000000001,0.4,34.385
140,0.07500000000000001,0.42500000000000004,33.495
141,0.07500000000000001,0.45,29.71
142,0.07500000000000001,0.47500000000000003,25.44
143,0.07500000000000001,0.5,23.5525
144,0.07500000000000001,0.525,23.83
145,0.07500000000000001,0.55,21.1025
146,0.07500000000000001,0.5750000000000001,19.6375
147,0.07500000000000001,0.6000000000000001,18.545
148,0.07500000000000001,0.625,17.13
149,0.07500000000000001,0.65,17.5125
150,0.07500000000000001,0.675,15.54
151,0.07500000000000001,0.7000000000000001,13.94
152,0.07500000000000001,0.7250000000000001,13.4225
153,0.07500000000000001,0.75,14.3725
154,0.07500000000000001,0.775,12.7375
155,0.07500000000000001,0.8,12.61
156,0.07500000000000001,0.8250000000000001,12.425
157,0.07500000000000001,0.8500000000000001,11.96
158,0.07500000000000001,0.875,11.46
159,0.07500000000000001,0.9,12.055
160,0.07500000000000001,0.925,11.75
161,0.07500000000000001,0.9500000000000001,10.39
162,0.07500000000000001,0.9750000000000001,8.9025
163,0.07500000000000001,1.0,9.8475
164,0.1,0.0,74.6775
165,0.1,0.025,74.8475
166,0.1,0.05,73.96
167,0.1,0.07500000000000001,72.525
168,0.1,0.1,70.6275
169,0.1,0.125,69.36
170,0.1,0.15000000000000002,66.5875
171,0.1,0.17500000000000002,63.955
172,0.1,0.2,61.155
173,0.1,0.225,57.575
174,0.1,0.25,54.3975
175,0.1,0.275,50.525
176,0.1,0.30000000000000004,47.64
177,0.1,0.325,42.8175
178,0.1,0.35000000000000003,38.2425
179,0.1,0.375,37.2825
180,0.1,0.4,33.8925
181,0.1,0.42500000000000004,31.8425
182,0.1,0.45,29.61
183,0.1,0.47500000000000003,25.15
184,0.1,0.5,22.9675
185,0.1,0.525,21.3875
186,0.1,0.55,21.01
187,0.1,0.5750000000000001,20.2525
188,0.1,0.6000000000000001,18.32
189,0.1,0.625,16.295
190,0.1,0.65,16.1925
191,0.1,0.675,15.745
192,0.1,0.7000000000000001,13.645
193,0.1,0.7250000000000001,13.335
194,0.1,0.75,13.85
195,0.1,0.775,12.4925
196,0.1,0.8,13.5825
197,0.1,0.8250000000000001,11.3525
198,0.1,0.8500000000000001,12.445
199,0.1,0.875,11.5525
200,0.1,0.9,11.41
201,0.1,0.925,10.33
202,0.1,0.9500000000000001,12.0675
203,0.1,0.9750000000000001,10.4825
204,0.1,1.0,9.5875
205,0.125,0.0,73.3625
206,0.125,0.025,72.5225
207,0.125,0.05,72.44
208,0.125,0.07500000000000001,70.2225
209,0.125,0.1,69.1625
210,0.125,0.125,67.6925
211,0.125,0.15000000000000002,64.7975
212,0.125,0.17500000000000002,61.485
213,0.125,0.2,58.5075
214,0.125,0.225,55.195
215,0.125,0.25,52.98
216,0.125,0.275,48.355
217,0.125,0.30000000000000004,46.6525
218,0.125,0.325,42.545
219,0.125,0.35000000000000003,39.4275
220,0.125,0.375,37.36
221,0.125,0.4,33.8775
222,0.125,0.42500000000000004,29.105
223,0.125,0.45,29.4275
224,0.125,0.47500000000000003,26.065
225,0.125,0.5,23.79
226,0.125,0.525,22.8875
227,0.125,0.55,21.84
228,0.125,0.5750000000000001,18.65
229,0.125,0.6000000000000001,17.0825
230,0.125,0.625,16.385
231,0.125,0.65,15.87
232,0.125,0.675,14.42
233,0.125,0.7000000000000001,13.595
234,0.125,0.7250000000000001,13.855
235,0.125,0.75,12.6075
236,0.125,0.775,12.0675
237,0.125,0.8,13.4375
238,0.125,0.8250000000000001,12.34
239,0.125,0.8500000000000001,12.5625
240,0.125,0.875,11.755
241,0.125,0.9,11.5575
242,0.125,0.925,10.2075
243,0.125,0.9500000000000001,10.775
244,0.125,0.9750000000000001,11.07
245,0.125,1.0,10.51
246,0.15000000000000002,0.0,70.3575
247,0.15000000000000002,0.025,70.965
248,0.15000000000000002,0.05,69.895
249,0.15000000000000002,0.07500000000000001,69.105
250,0.15000000000000002,0.1,67.0325
251,0.15000000000000002,0.125,65.0875
252,0.15000000000000002,0.15000000000000002,61.1525
253,0.15000000000000002,0.17500000000000002,59.99
254,0.15000000000000002,0.2,57.785
255,0.15000000000000002,0.225,55.5575
256,0.15000000000000002,0.25,49.9225
257,0.15000000000000002,0.275,47.9625
258,0.15000000000000002,0.30000000000000004,46.2325
259,0.15000000000000002,0.325,40.5025
260,0.15000000000000002,0.35000000000000003,38.6425
261,0.15000000000000002,0.375,36.3425
262,0.15000000000000002,0.4,32.1475
263,0.15000000000000002,0.42500000000000004,29.9775
264,0.15000000000000002,0.45,29.175
265,0.15000000000000002,0.47500000000000003,27.085
266,0.15000000000000002,0.5,21.3875
267,0.15000000000000002,0.525,19.4625
268,0.15000000000000002,0.55,19.95
269,0.15000000000000002,0.5750000000000001,18.8225
270,0.15000000000000002,0.6000000000000001,17.81
271,0.15000000000000002,0.625,17.0325
272,0.15000000000000002,0.65,14.5525
273,0.15000000000000002,0.675,13.5975
274,0.15000000000000002,0.7000000000000001,14.0225
275,0.15000000000000002,0.7250000000000001,11.9875
276,0.15000000000000002,0.75,13.455
277,0.15000000000000002,0.775,13.365
278,0.15000000000000002,0.8,12.7525
279,0.15000000000000002,0.8250000000000001,12.8825
280,0.15000000000000002,0.8500000000000001,11.285
281,0.15000000000000002,0.875,11.04
282,0.15000000000000002,0.9,11.5125
283,0.15000000000000002,0.925,10.94
284,0.15000000000000002,0.9500000000000001,10.7325
285,0.15000000000000002,0.9750000000000001,11.0
286,0.15000000000000002,1.0,11.3025
287,0.17500000000000002,0.0,68.1325
288,0.17500000000000002,0.025,68.04
289,0.17500000000000002,0.05,67.435
290,0.17500000000000002,0.07500000000000001,67.125
291,0.17500000000000002,0.1,64.765
292,0.17500000000000002,0.125,63.565
293,0.17500000000000002,0.15000000000000002,61.1225
294,0.17500000000000002,0.17500000000000002,58.1
295,0.17500000000000002,0.2,56.0525
296,0.17500000000000002,0.225,52.01
297,0.17500000000000002,0.25,49.5275
298,0.17500000000000002,0.275,47.385
299,0.17500000000000002,0.30000000000000004,42.4975
300,0.17500000000000002,0.325,38.4525
301,0.17500000000000002,0.35000000000000003,37.6425
302,0.17500000000000002,0.375,34.6925
303,0.17500000000000002,0.4,32.175
304,0.17500000000000002,0.42500000000000004,30.665
305,0.17500000000000002,0.45,26.7225
306,0.17500000000000002,0.47500000000000003,25.92
307,0.17500000000000002,0.5,21.715
308,0.17500000000000002,0.525,21.82
309,0.17500000000000002,0.55,20.7125
310,0.17500000000000002,0.5750000000000001,18.925
311,0.17500000000000002,0.6000000000000001,17.2525
312,0.17500000000000002,0.625,16.0625
313,0.17500000000000002,0.65,14.985
314,0.17500000000000002,0.675,14.2825
315,0.17500000000000002,0.7000000000000001,14.3425
316,0.17500000000000002,0.7250000000000001,13.56
317,0.17500000000000002,0.75,13.5475
318,0.17500000000000002,0.775,13.355
319,0.17500000000000002,0.8,11.5375
320,0.17500000000000002,0.8250000000000001,12.3225
321,0.17500000000000002,0.8500000000000001,11.79
322,0.17500000000000002,0.875,12.355
323,0.17500000000000002,0.9,11.0375
324,0.17500000000000002,0.925,11.245
325,0.17500000000000002,0.9500000000000001,10.5675
326,0.17500000000000002,0.9750000000000001,11.31
327,0.17500000000000002,1.0,10.49
328,0.2,0.0,65.4925
329,0.2,0.025,65.8825
330,0.2,0.05,65.1325
331,0.2,0.07500000000000001,63.4675
332,0.2,0.1,60.625
333,0.2,0.125,60.575
334,0.2,0.15000000000000002,59.7625
335,0.2,0.17500000000000002,54.8225
336,0.2,0.2,52.0225
337,0.2,0.225,50.6525
338,0.2,0.25,47.6725
339,0.2,0.275,44.195
340,0.2,0.30000000000000004,42.95
341,0.2,0.325,38.9175
342,0.2,0.35000000000000003,35.575
343,0.2,0.375,34.1375
344,0.2,0.4,31.295
345,0.2,0.42500000000000004,29.21
346,0.2,0.45,26.78
347,0.2,0.47500000000000003,21.45
348,0.2,0.5,22.6575
349,0.2,0.525,20.01
350,0.2,0.55,21.0625
351,0.2,0.5750000000000001,17.4525
352,0.2,0.6000000000000001,16.7775
353,0.2,0.625,17.1725
354,0.2,0.65,15.8225
355,0.2,0.675,14.9525
356,0.2,0.7000000000000001,14.6225
357,0.2,0.7250000000000001,12.42
358,0.2,0.75,12.0875
359,0.2,0.775,12.665
360,0.2,0.8,11.9325
361,0.2,0.8250000000000001,12.1625
362,0.2,0.8500000000000001,11.39
363,0.2,0.875,10.905
364,0.2,0.9,12.12
365,0.2,0.925,10.8575
366,0.2,0.9500000000000001,11.3375
367,0.2,0.9750000000000001,10.4475
368,0.2,1.0,10.6825
369,0.225,0.0,62.19
370,0.225,0.025,62.0975
371,0.225,0.05,60.85
372,0.225,0.07500000000000001,60.255
373,0.225,0.1,58.5375
374,0.225,0.125,57.2375
375,0.225,0.15000000000000002,55.925
376,0.225,0.17500000000000002,51.5
377,0.225,0.2,50.545
378,0.225,0.225,48.775
379,0.225,0.25,45.1925
380,0.225,0.275,42.1325
381,0.225,0.30000000000000004,39.4175
382,0.225,0.325,36.95
383,0.225,0.35000000000000003,33.74
384,0.225,0.375,31.725
385,0.225,0.4,30.475
386,0.225,0.42500000000000004,27.44
387,0.225,0.45,24.9775
388,0.225,0.47500000000000003,25.9325
389,0.225,0.5,21.2475
390,0.225,0.525,20.5075
391,0.225,0.55,19.8275
392,0.225,0.5750000000000001,18.055
393,0.225,0.6000000000000001,15.61
394,0.225,0.625,14.94
395,0.225,0.65,14.63
396,0.225,0.675,15.225
397,0.225,0.7000000000000001,14.695
398,0.225,0.7250000000000001,13.205
399,0.225,0.75,12.8475
400,0.225,0.775,12.005
401,0.225,0.8,13.1675
402,0.225,0.8250000000000001,11.8775
403,0.225,0.8500000000000001,11.3275
404,0.225,0.875,10.9925
405,0.225,0.9,13.155
406,0.225,0.925,12.365
407,0.225,0.9500000000000001,10.8
408,0.225,0.9750000000000001,11.6625
409,0.225,1.0,12.0825
410,0.25,0.0,58.355
411,0.25,0.025,60.1475
412,0.25,0.05,57.48
413,0.25,0.07500000000000001,57.215
414,0.25,0.1,54.34
415,0.25,0.125,54.23
416,0.25,0.15000000000000002,53.5325
417,0.25,0.17500000000000002,50.21
418,0.25,0.2,47.9275
419,0.25,0.225,46.8
420,0.25,0.25,43.5775
421,0.25,0.275,41.875
422,0.25,0.30000000000000004,38.6625
423,0.25,0.325,34.83
424,0.25,0.35000000000000003,33.015
425,0.25,0.375,30.0375
426,0.25,0.4,29.2925
427,0.25,0.42500000000000004,27.505
428,0.25,0.45,24.735
429,0.25,0.47500000000000003,23.295
430,0.25,0.5,21.385
431,0.25,0.525,20.13
432,0.25,0.55,18.1075
433,0.25,0.5750000000000001,17.6525
434,0.25,0.6000000000000001,17.1875
435,0.25,0.625,14.965
436,0.25,0.65,14.21
437,0.25,0.675,14.475
438,0.25,0.7000000000000001,12.955
439,0.25,0.7250000000000001,12.8875
440,0.25,0.75,12.6675
441,0.25,0.775,11.73
442,0.25,0.8,13.21
443,0.25,0.8250000000000001,11.48
444,0.25,0.8500000000000001,10.9375
445,0.25,0.875,12.025
446,0.25,0.9,9.93
447,0.25,0.925,11.2375
448,0.25,0.9500000000000001,10.2975
449,0.25,0.9750000000000001,11.325
450,0.25,1.0,10.1025
451,0.275,0.0,56.65
452,0.275,0.025,54.3325
453,0.275,0.05,54.2625
454,0.275,0.07500000000000001,54.01
455,0.275,0.1,54.0525
456,0.275,0.125,51.6825
457,0.275,0.15000000000000002,51.2175
458,0.275,0.17500000000000002,46.8525
459,0.275,0.2,48.205
460,0.275,0.225,42.8675
461,0.275,0.25,41.2925
462,0.275,0.275,40.0825
463,0.275,0.30000000000000004,37.46
464,0.275,0.325,34.4675
465,0.275,0.35000000000000003,34.7425
466,0.275,0.375,30.025
467,0.275,0.4,27.1225
468,0.275,0.42500000000000004,25.5425
469,0.275,0.45,24.4975
470,0.275,0.47500000000000003,24.0375
471,0.275,0.5,21.6725
472,0.275,0.525,18.1925
473,0.275,0.55,19.3675
474,0.275,0.5750000000000001,17.4475
475,0.275,0.6000000000000001,17.6075
476,0.275,0.625,14.6
477,0.275,0.65,14.33
478,0.275,0.675,12.0875
479,0.275,0.7000000000000001,13.3225
480,0.275,0.7250000000000001,13.0475
481,0.275,0.75,12.1575
482,0.275,0.775,12.1425
483,0.275,0.8,11.6425
484,0.275,0.8250000000000001,11.065
485,0.275,0.8500000000000001,11.22
486,0.275,0.875,12.1
487,0.275,0.9,10.95
488,0.275,0.925,10.41
489,0.275,0.9500000000000001,10.4875
490,0.275,0.9750000000000001,10.3725
491,0.275,1.0,10.755
492,0.30000000000000004,0.0,52.3275
493,0.30000000000000004,0.025,52.375
494,0.30000000000000004,0.05,51.95
495,0.30000000000000004,0.07500000000000001,50.9325
496,0.30000000000000004,0.1,49.5
497,0.30000000000000004,0.125,48.4
498,0.30000000000000004,0.15000000000000002,47.08
499,0.30000000000000004,0.17500000000000002,47.2975
500,0.30000000000000004,0.2,41.885
501,0.30000000000000004,0.225,39.805
502,0.30000000000000004,0.25,40.9075
503,0.30000000000000004,0.275,36.21
504,0.30000000000000004,0.30000000000000004,33.6075
505,0.30000000000000004,0.325,32.825
506,0.30000000000000004,0.35000000000000003,32.7175
507,0.30000000000000004,0.375,28.92
508,0.30000000000000004,0.4,26.27
509,0.30000000000000004,0.42500000000000004,24.0175
510,0.30000000000000004,0.45,21.97
511,0.30000000000000004,0.47500000000000003,21.21
512,0.30000000000000004,0.5,21.15
513,0.30000000000000004,0.525,19.2075
514,0.30000000000000004,0.55,19.7025
515,0.30000000000000004,0.5750000000000001,17.1075
516,0.30000000000000004,0.6000000000000001,16.4725
517,0.30000000000000004,0.625,15.5
518,0.30000000000000004,0.65,13.2125
519,0.30000000000000004,0.675,13.66
520,0.30000000000000004,0.7000000000000001,14.32
521,0.30000000000000004,0.7250000000000001,13.475
522,0.30000000000000004,0.75,12.5
523,0.30000000000000004,0.775,11.985
524,0.30000000000000004,0.8,12.4375
525,0.30000000000000004,0.8250000000000001,12.12
526,0.30000000000000004,0.8500000000000001,11.06
527,0.30000000000000004,0.875,12.37
528,0.30000000000000004,0.9,12.16
529,0.30000000000000004,0.925,10.2825
530,0.30000000000000004,0.9500000000000001,11.51
531,0.30000000000000004,0.9750000000000001,10.6525
532,0.30000000000000004,1.0,10.6525
533,0.325,0.0,50.1925
534,0.325,0.025,51.0225
535,0.325,0.05,47.545
536,0.325,0.07500000000000001,47.34
537,0.325,0.1,46.43
538,0.325,0.125,46.9225
539,0.325,0.15000000000000002,45.285
540,0.325,0.17500000000000002,42.975
541,0.325,0.2,41.7525
542,0.325,0.225,38.5075
543,0.325,0.25,35.205
544,0.325,0.275,35.5425
545,0.325,0.30000000000000004,33.985
546,0.325,0.325,29.7425
547,0.325,0.35000000000000003,28.09
548,0.325,0.375,26.53
549,0.325,0.4,26.37
550,0.325,0.42500000000000004,22.89
551,0.325,0.45,22.6875
552,0.325,0.47500000000000003,20.545
553,0.325,0.5,20.1875
554,0.325,0.525,16.705
555,0.325,0.55,16.8725
556,0.325,0.5750000000000001,16.1775
557,0.325,0.6000000000000001,13.52
558,0.325,0.625,13.8375
559,0.325,0.65,13.675
560,0.325,0.675,12.95
561,0.325,0.7000000000000001,13.695
562,0.325,0.7250000000000001,14.905
563,0.325,0.75,12.6775
564,0.325,0.775,11.885
565,0.325,0.8,11.8925
566,0.325,0.8250000000000001,10.8725
567,0.325,0.8500000000000001,10.9675
568,0.325,0.875,11.3525
569,0.325,0.9,10.7625
570,0.325,0.925,10.305
571,0.325,0.9500000000000001,11.2875
572,0.325,0.9750000000000001,9.425
573,0.325,1.0,10.6475
574,0.35000000000000003,0.0,47.275
575,0.35000000000000003,0.025,48.565
576,0.35000000000000003,0.05,45.8375
577,0.35000000000000003,0.07500000000000001,45.8975
578,0.35000000000000003,0.1,43.12
579,0.35000000000000003,0.125,45.8475
580,0.35000000000000003,0.15000000000000002,42.0825
581,0.35000000000000003,0.17500000000000002,41.3925
582,0.35000000000000003,0.2,37.825
